	module	kME	kIN	cluster_name	HOMA.ir_estimate	HOMA.ir_p.value	HOMA.ir_p.adjust	HOMA.ir_BMI.adj.partial_estimate	HOMA.ir_BMI.adj.partial_p.value	HOMA.ir_BMI.adj.partial_p.adjust
L_810_unknown	green	0.83884945949861	3.55733220400087	L29	0.0684710115624501	0.245916610384439	0.340320617214484	0.0940129357856489	0.111375318787245	0.202837378913984
L_1711_unknown	green	0.849988228838638	3.30833536178784	L29	-0.211591859646293	0.000291686578698017	0.000711747751920509	-0.0973146859546143	0.0993081684189738	0.184309227828434
L_891_unknown	green	0.858518033693813	3.15363053613148	L29	-0.154397495897482	0.00855946058320534	0.0167742449013152	-0.0516909647657563	0.382121424519775	0.518170848110407
L_529_PE.38.7e.	green	0.810701534143147	3.13428898856206	L29	0.0164500860939441	0.780660549686875	0.846359704858543	0.0740460548085337	0.210257083602481	0.336104389116375
L_461_LysoPC.20.5.	green	0.800758851764623	2.63513336511725	L29	-0.107482850272063	0.0680646502166338	0.111239988040618	0.0304590341694921	0.606707881259667	0.739161171000938
L_1103_unknown	green	0.79759202097705	2.39382360520573	L29	-0.270205753769915	3.15335454431843e-06	1.00448675666289e-05	-0.125716866601518	0.0329513358220102	0.069900350143551
L_1028_unknown	green	0.704702990132293	1.87265615268147	L29	0.020905426565929	0.723420796527283	0.802172933870759	0.0524449985709075	0.375207652431665	0.511965581822646
L_860_unknown	green	0.738170597512315	1.73863236459036	L29	-0.276106493051787	1.87505991365083e-06	6.1983112617288e-06	-0.103268300295529	0.0801908154913622	0.154050777128143
L_295_PE.40.7e.	green	0.703878484947291	1.68287011820587	L29	-0.150433655691947	0.010440796600102	0.0200573197844064	0.00813823270048382	0.8906260862921	0.927691381203187
L_1261_TG.50.4.	green	0.718739679394414	1.50969596733955	L29	-0.121357783401154	0.0392298768576663	0.0675154658689895	0.0297726863891202	0.614842330140203	0.743631078512389
L_330_PE.38.7e.	green	0.678308863207244	1.40549513947052	L29	0.108194729706567	0.066249127562914	0.109292346035994	0.145528596218173	0.0134308334172579	0.0312079842798883
L_643_PE.40.8e.	green	0.656748884564542	1.40257345296558	L29	-0.0491408234516953	0.405252926946247	0.510059718397863	0.0272270572889965	0.64541980916446	0.764037503821712
L_1242_PC.40.2.	green	0.696997635091002	1.34941968343165	L29	-0.197881837790814	0.000717183123373593	0.00168432283130098	-0.0457823965125873	0.438942605857065	0.574758927848713
L_1524_unknown	green	0.724473715779952	1.33149078362947	L29	-0.186989734213981	0.00140676070284202	0.00317608859713817	-0.0766591008614552	0.194562410872192	0.316209038820111
L_281_unknown	green	0.656938775990804	1.27099253920741	L29	0.0472412346182569	0.42367184192613	0.52943870688629	0.0767486081160631	0.194040379098443	0.315946788271815
L_270_unknown	green	0.689945482808303	1.17866328543611	L29	-0.135395637924234	0.0213147559149636	0.0393918273871478	-0.0220843807933952	0.708999621192784	0.807782891919056
L_1762_PC.38.1.	green	0.693081384416441	1.15725226116963	L29	-0.0194946019144608	0.741397461154051	0.816908420411392	0.0781261234344476	0.186134909588856	0.304774169719323
L_381_unknown	green	0.656728289592159	1.05560081925913	L29	-0.05696304024284	0.334565546593402	0.436130087523541	-0.0211307765758346	0.721030794062044	0.813947133503029
L_221_unknown	green	0.659176447678241	1.03646133544685	L29	-0.130655495931457	0.0263478175605856	0.0474911279487099	-0.0288938537787665	0.625327139601501	0.751421912607565
L_610_unknown	green	0.678563662431761	1.02744280364846	L29	-0.176805281577457	0.00255742682501832	0.00547752053475806	0.0760909718562122	0.197899817908205	0.318676912661006
L_1368_unknown	green	0.688149776082694	1.02516669640048	L29	-0.222831445951986	0.000133530476841243	0.000343028439040846	-0.0694050771907879	0.240340080842105	0.371319066697856
L_230_PE.40.6.	green	0.630820480174664	1.02516533091953	L29	-0.055859900727808	0.344025270868883	0.447130767479438	0.0200263514516978	0.735050952067553	0.826578477549649
L_1265_unknown	green	0.61790940218673	0.888381429928294	L29	-0.246611502365768	2.23627240948609e-05	6.27876484201863e-05	-0.0819919366628387	0.165217594268441	0.276203459120523
L_961_unknown	green	0.554370620896348	0.722725727985173	L29	-0.144696086539017	0.0138109350647998	0.0261869677852048	-0.0310446748688074	0.599805068150705	0.732816233891238
L_1342_unknown	green	0.658394988814313	0.721527228110511	L29	-0.084332342023456	0.15272130889048	0.230661838944932	-0.0715489040105818	0.226088428990281	0.356180363145345
